Iter Core_Total(Pa) Full_Total(Pa) Core_Static(Pa) Full_Static(Pa)
621 3830.56 6039.31 3851.99 6235.79
622 3829.42 6037.91 3850.99 6234.55
623 3828.16 6036.52 3849.95 6233.3
624 3826.81 6035.17 3848.92 6232.07
625 3825.4 6033.87 3847.89 6230.86
626 3823.94 6032.63 3846.88 6229.69
627 3822.44 6031.44 3845.89 6228.55
628 3820.95 6030.32 3844.93 6227.46
629 3819.47 6029.26 3844.02 6226.41
630 3818 6028.26 3843.13 6225.4
631 3816.56 6027.31 3842.26 6224.42
632 3815.15 6026.4 3841.42 6223.46
633 3813.79 6025.54 3840.6 6222.53
634 3812.48 6024.7 3839.81 6221.63
635 3811.23 6023.89 3839.03 6220.73
636 3810.04 6023.09 3838.26 6219.85
637 3808.91 6022.29 3837.5 6218.96
638 3807.86 6021.5 3836.74 6218.07
639 3806.87 6020.7 3836 6217.18
