Iter MassResid UResid VResid Core_dP_AfterInletBuffer(Pa) Full_dP_FullSystem(Pa)
439 2.85665e-05 0.00402294 0.00215126 4196.23 6498.26
440 2.81747e-05 0.00399891 0.0021414 4192 6493.4
441 2.6709e-05 0.00396828 0.00213162 4187.81 6488.58
442 2.81175e-05 0.00396271 0.00211683 4183.63 6483.75
443 2.81502e-05 0.00394868 0.00208968 4179.53 6478.98
444 2.71342e-05 0.00392625 0.00209187 4175.5 6474.27
445 2.73095e-05 0.00390043 0.0020764 4171.51 6469.56
446 2.79153e-05 0.00388847 0.00205561 4167.56 6464.89
447 2.7263e-05 0.00387528 0.00204538 4163.68 6460.28
448 2.62415e-05 0.00385717 0.00203167 4159.83 6455.69
449 2.75452e-05 0.00383568 0.00202462 4155.98 6451.1
450 2.72894e-05 0.00381811 0.001994 4152.19 6446.58
451 2.60948e-05 0.00380771 0.0019906 4148.44 6442.1
452 2.69358e-05 0.00379507 0.00198712 4144.69 6437.62
453 2.71882e-05 0.00377014 0.00198398 4140.99 6433.2
